datetime,values
2018-04-18T19:00:00.000+0200,29
2018-04-18T19:15:00.000+0200,42
2018-04-18T19:30:00.000+0200,29
2018-04-18T20:00:00.000+0200,15
2018-04-18T20:30:00.000+0200,25
2018-04-18T20:45:00.000+0200,6
2018-04-18T21:15:00.000+0200,45
2018-04-18T21:30:00.000+0200,27
2018-04-18T21:45:00.000+0200,16
2018-04-18T22:00:00.000+0200,15
2018-04-18T22:15:00.000+0200,12
2018-04-18T22:45:00.000+0200,3
2018-04-18T23:15:00.000+0200,3
2018-04-18T23:30:00.000+0200,15
2018-04-19T00:00:00.000+0200,16
2018-04-19T00:15:00.000+0200,15
2018-04-19T00:30:00.000+0200,5
2018-04-19T01:00:00.000+0200,2
2018-04-19T01:15:00.000+0200,5
2018-04-19T01:30:00.000+0200,2
2018-04-19T01:45:00.000+0200,7
2018-04-19T02:00:00.000+0200,2
2018-04-19T02:15:00.000+0200,4
2018-04-19T02:30:00.000+0200,8
2018-04-19T02:45:00.000+0200,13
2018-04-19T03:00:00.000+0200,1
2018-04-19T03:15:00.000+0200,2
2018-04-19T03:30:00.000+0200,2
2018-04-19T04:00:00.000+0200,19
2018-04-19T04:45:00.000+0200,8
2018-04-19T05:00:00.000+0200,7
2018-04-19T05:15:00.000+0200,6
2018-04-19T05:30:00.000+0200,5
2018-04-19T05:45:00.000+0200,11
2018-04-19T06:00:00.000+0200,7
2018-04-19T06:15:00.000+0200,9
2018-04-19T06:30:00.000+0200,18
2018-04-19T06:45:00.000+0200,6
2018-04-19T07:00:00.000+0200,26
2018-04-19T07:15:00.000+0200,60
2018-04-19T07:30:00.000+0200,160
2018-04-19T07:45:00.000+0200,148
2018-04-19T08:00:00.000+0200,147
2018-04-19T08:15:00.000+0200,181
2018-04-19T08:30:00.000+0200,105
2018-04-19T08:45:00.000+0200,116
2018-04-19T09:00:00.000+0200,243
2018-04-19T09:15:00.000+0200,257
2018-04-19T09:30:00.000+0200,95
2018-04-19T09:45:00.000+0200,294
2018-04-19T10:00:00.000+0200,329
2018-04-19T10:15:00.000+0200,216
2018-04-19T10:30:00.000+0200,96
2018-04-19T10:45:00.000+0200,131
2018-04-19T11:00:00.000+0200,164
2018-04-19T11:15:00.000+0200,361
2018-04-19T11:30:00.000+0200,253
2018-04-19T11:45:00.000+0200,105
2018-04-19T12:00:00.000+0200,184
2018-04-19T12:15:00.000+0200,71
2018-04-19T12:30:00.000+0200,162
2018-04-19T12:45:00.000+0200,95
2018-04-19T13:00:00.000+0200,98
2018-04-19T13:15:00.000+0200,163
2018-04-19T13:30:00.000+0200,207
2018-04-19T13:45:00.000+0200,129
2018-04-19T14:00:00.000+0200,276
2018-04-19T14:15:00.000+0200,127
2018-04-19T14:30:00.000+0200,180
2018-04-19T14:45:00.000+0200,164
2018-04-19T15:00:00.000+0200,211
2018-04-19T15:15:00.000+0200,155
2018-04-19T15:30:00.000+0200,272
2018-04-19T15:45:00.000+0200,282
2018-04-19T16:00:00.000+0200,192
2018-04-19T16:15:00.000+0200,201
2018-04-19T16:30:00.000+0200,341
2018-04-19T16:45:00.000+0200,214
2018-04-19T17:00:00.000+0200,105
2018-04-19T17:15:00.000+0200,111
2018-04-19T17:30:00.000+0200,119
2018-04-19T17:45:00.000+0200,113
2018-04-19T18:00:00.000+0200,145
2018-04-19T18:15:00.000+0200,108
2018-04-19T18:30:00.000+0200,99
2018-04-19T18:45:00.000+0200,94
2018-04-19T19:00:00.000+0200,133
2018-04-19T19:15:00.000+0200,117
2018-04-19T19:30:00.000+0200,131
2018-04-19T19:45:00.000+0200,134
2018-04-19T20:00:00.000+0200,137
2018-04-19T20:15:00.000+0200,100
2018-04-19T20:30:00.000+0200,52
2018-04-19T20:45:00.000+0200,82
2018-04-19T21:00:00.000+0200,115
2018-04-19T21:15:00.000+0200,63
2018-04-19T21:30:00.000+0200,142
2018-04-19T21:45:00.000+0200,125
